unique_post_id,content,is_starter,A3_stress,A3_anxiety,A3_depression
thread_14967521_starter,من به یه دلایلی. سیسمونی  کامل نگرفتم لباس فقط سایز صفر و سه تا سایز یک گرفتم  الان بچم لباس. کم میاره. شوهرم دیشب 1تومن داد به مواد من امروز صبح چنددست لباس برای بچم سفارش داد کلش شد 1600   دیشب بهش گفتم افرا لباس هاش کوچیک شده   کم میارم. لباس سفارش میدم گفت درحد 500   اخه در حد 500    لباس نوزادی میشه. الان از وقتی بیدار شد دعوا باهام دار که چرا ولخرجی میکنی چرا درک نمیکنی گرونی چرا این همه لباس میخری,True,6,3,3
328368322,یارانه نقد رو به فنا ندم,False,2,1,1
406777093,تجربه ندارم راستش,False,1,1,1
353835732,"خودت به خدا گفته بودی چنین چیزایی برات اتفاق بیوفته خودت خانوادتو انتخاب کردی
ناراحت نباش صبر پاداش داره
من شاید از توهم بدتر کشیدم
زیر هجدم دوتا کلیه هام بخاطر اعصابم داغون شدن
پوستم انقدر افتاده شده",False,5,3,3
280309949,"همسرتون کمکتون میکنه؟؟؟
خودتون بهش میگید ؟؟
چرا برای ممن کمک نمیکنه اصن 😭😭😭😭😭😭",False,5,3,4
413652864,سعی کن در موردش خوب تحقیق کنی مورد تایید بود ازدواج کن,False,1,1,1
413492685,نه اگه حدومرز داشته باشید و از چارچوب کاری خارج نشه,False,1,1,1
thread_8829382_starter,فردا غربالگری دارم 12 هفتمه ولی تواین 1 ماه حتی 1 روزم حال روحی خوبی نداشتم تحت استرس شدید بودم خیلیم توسایت خوندم مشکلات بقیه ک رفتیم فلانو فلان شده از فکرشم اشکم درمیاد. ..هرچند الانم خیلی فکرم خرابه😔همه دوستام باردارن همشونم ماشالله نزدیک زایمان میشه فردا برم بگه سالمه? یعنی خدایا منم اون روزو میبینم ک ب دنیا بیارمش..,True,8,9,6
374409781,منم تازه متوجه شدم پولیپ رحم دارم افسردگی گرفتم اصلا یجوریم میترسم.....همش ناامیدم 😔,False,6,8,9
400777122,میترسم پیش فعال باشه از ترس شیطونیاش هم استرس دارم.چون من دوتا دارم اینقد خستم دستشون حوصله  نق نوقای اینو ندارم,False,7,7,4
341974368,مرسی عزیزم حتما الان میخونم,False,1,1,1
411687631,یادمه یکی از کاربردهای همین سایت .تو دوران طلاقش وارد رابطه ی عاطفی شده بود و در دوران عده هم با طرف رابطه ی جنسی برقرار کرده بود و خبر نداشت که بهم حرام ابدی میشن .,False,1,1,1
413743820,شربت لاکتولوز لاکسی ژل شربت انجیر,False,1,1,1
412023310,"چون شما گفتی هر وقت خواستی بیاین .
پس اسکل کسی نشدی . خیالت راحت",False,1,1,1
406412742,ن بعدش جدا شدم الان ۱۱/۱۲ساله میگذره  .تازگیا شل شلکی اقدام کردم,False,1,1,1
267390340,با مریضا افتادم تازه همین رفتارارو شوهر خواهرش باهاش میکنه هی میگن بیچاره خواهرم بیچاره,False,2,1,1
344226864,خداروشکر انشالله همیشه سلامت باشه,False,1,1,1
thread_8771170_banoazar_1401/03/13 16:03,اگه دکتر منع نکنه مشکلی نداره,False,1,1,1
412536797,"میگن عابدینی  شریفی مقدم را طلاق داده
علی مصفا هم لیلا حاتمی را طلاق داده
اینا  زشت و بد هیکلن؟",False,1,1,1
363172827,"هعی
من دست خودم نبود خیلی سعی کردم خودمو کنترل کنم اما همینطور اشک هام می اومد و میخواستم با حرف زدن  تخلیه کنم حتی قرآن گوش کردم تا آروم بگیرم
من هم نمیخوام بچه ام آسیب ببینه واسه همین عذاب وجدان دارم
اما میخواستم یاد بگیره پس فردا بچه میاد بخواد همه چی رو بده دست من که نمیشه",False,8,7,6
413562136,"بله دکتر هم گفت
ولی تا فردا روانی میشم
احساس میکنم باید با آمادگی قبلی باردار می شدم
من همینطور یرخی باردار شدم
آماده میشدم 12 اردیبهشت برم انتقال",False,7,8,3
411694895,"انشاالله
دختر فامیل ماهم 15 سالگی بچه دار شد 17 جدا شد
چند ازدواج کرد؟13",False,1,1,1
thread_12260668_starter,سلام دوستان خوبید، من دو سه روزه زایمان کردم در طول روز گاهی اوقات ی حس بدی بهم دست میده حس افسردگی حس تنهایی پشیمونی. خونه بابام میمونم بنظرتون برم خونه خودم، یا تنها نمیرسونم؟؟,True,5,3,8
413344644,چهره گاهی اوقات دست خود ادم نیست این بی انصافیه که  قیافه معیارت قرار بدی باید شرایط مهم دیگه رو داشته باشن مثلا دوست داره ؟ پرتلاشه ؟ خوش اخلاقه ؟ با اراده س ؟ اگه کسی این طوری باشه بنظرم قیافه اینجا مهم نیست اگه خیلی زشت باشن خب  مشکل بی توجهی به خودشونه باید به خودشون برسن مثلا ورزش کنن لباس متناسب بپوشن اب و تغذیه درست باشه کلا قیافه میتونه بهتر باشه البته با تلاش,False,1,1,1
thread_16392413_starter,باردارم.   باید خیلی شاد باشم.  بالخره ب آرزوم رسیدم.  اما دلم آروم نیست.  ناراحتم.  شوهرم ی ذره کمکی نکرد تازه بیشتر خونه رو بهم ریخت.   ی مسافرت ی جایی ک بهم خوش بگذره نبرد.   بردند هم جاهایی برد ک میدونست خوشم نمیاد.  دستش رو ی بار با میل خودش رو شکم من نزاشت. ذوقی برا اسم گذاری نداشت میگ هر چی میزاری بزاریم. حتی پیشنهادی نداد. از گوشی در نمیاد همیشه تو گوشی در حال فیلم دیدن هست.  من هستم و دل تنهام.  بیرون رفتنم کار نداره میرم ولی دلم تنهاست.  غصه میخورم. هد وقت افسرده شم موهامو میزنم و زدم. بدون دعوا و دلیل قهر کردم و اینم هر وقت من قهرم با من قهره. خیلی تنهام. خیلی.   شوهر مردم موقع بارداری چه ها که نمی‌کند اینم از این.  ۶ ماهه خونه مامانم میخوریم با ن قهر بودنی با اونم قهر میکنه اونم از دستت درد نکنه هس.  خانوادش هم ی ذره درک و محبت ندارن.  خستم.  خستم.   فقط خسته. دلم میترکه.  باهاش حرف نمیزنم. اصلا نمیپرسه و براش ام مهم نیس. خستم.  میگ همیشه اخمو هستی خونه اومدنم نمیاد.  نمیخوام پا بزارم تو خونه.,True,8,4,9
thread_17982318_starter,"برام زده ۱۹/۹ H
یه اچ هم پیششه
یعنی بالاس؟
استرس گرفتم🥲
دکترمم فردا میشه دید حس میکنم تا فردا دیوونه بشم",True,8,9,2
330927833,"وابستگی نیست بابا
بعدش شما هم گاهی تنهایی برو خونه مامانت...ببین چقدر خوبه...
گاهی هم که همسرتون که داره میره دیدن مامانش بگو منم میام دلم براشون تنگ شده...
گاهی نیازه تنهایی بره آدم گاهی نیازه با همسرش بره....چه خونه مامان خود آدم چه خونه مامان همسر...
حیفه زندگی با این فکر و خیال برای خودت سختش نکن...
منم اوایل خیلی سختم بود همسرم تنهایی جایی بره یا من تنهایی برم جایی چون خیلی وابسته هستم ولی الان میبینم گاهی نیازه و حتی زن و شوهر رو نسبت بهم وابسته تر و دلگرم تر میکنه...
من هروقت تنهایی میرم جایی که همسرم نمیاد...براش یه چیزی میارم از مهمونی..یا تعریف میکنم چیکارا کردیم...
اونم گاهی نیاز داره با خانوادش تنها باشه یا با دوستاش...و همینطوره
اشکال نداره...
ازدواج نکردیم که همدیگرو کنترل کنیم یا محدود کنیم
تو همه چیز اعتدال خوبه",False,2,3,1
thread_11203110_mambardia_1402/03/08 21:34,ن شوهرم دخول نداریم .بخاطر بچه نمی تونه حالش بد میشه 😖😖😖😞😞👎👎👎,False,4,2,3
360876957,"بی احترامی نبود حرف حق بود منم اگه عروسم رو اینطوری اذیت کنم والا تحمل میکنم پسرم اینطوری بهم بگه
مگه چی میشه ؟؟؟؟ یکی هر روز از صبح تا شب بیاد خونت تو خونه خودت راحت نباشی چی میشه ؟ قبلش جور دیگه گفته بود",False,2,1,1
thread_16862535_starter,"چه گهی خوردم
میدونین دنیا زرنگی میخاد من احمق بودم بدجور چوب میخورم😭",True,7,5,6
398058186,چرا زود قضاوت می کنی ،هر جا بری یه مشکلاتی هست دیگه.. نترس باش ،برو تو دل مشکلات..چرا اینقدر زندگی رو برای خودت سخت می گیری ؟حتی اگه بخواد باهات آشنا بشه ،چه اشکالی داره وقتی طلاق گرفتی ،با هاش آشنا شو ،شاید همین آدم زندگیت رو قشنگ کرد..مگه تو از همه چیز خبر داری ؟,False,1,1,1
thread_12254105_دختــرشیــرااازی_1402/07/27 18:32,عزیزم سالم بودن بکارت از رو عکس تشخیصش یکم دشواره چون زمان معاینه باید کف لگن آزاد باشه و یکم زور بزنی,False,1,1,1
407816395,چن روزه کارم شده گریه .دکتر گفت بعد دنیا اومدن کچمیگیرن اگخوب نشد عمل میکنن😭😭,False,7,7,7
413225830,چیزی بخوام میبرمش بیرون دگ خودش حساب میکنه ولی بعد امروز دگ همینم خجالت میکشم ازش بگیرم،کار بیرونو اینا ن منظورم انلاین شاپو ازین چیزا بود,False,4,3,3
366296667,"فک نمیکردم اینجوری کنه دیگه     دیشبم یکی دو قطره لک داشتم
به نظرتون خطرناکه🥺",False,4,6,2
256256892,سلام دکتر برا ترک به من کرم مارگریت داد. ایرانیه و قیمتش خوبه,False,1,1,1
336998037,به نظرم برای زندگیت بجنگ . مشکلت حاد نیست. بچت گناه داره.زندگب بعد طلاق هم آسون نیست خودت میدونی,False,1,1,1
374990999,اون مال پریشبه اونا مارودعوت کرده بودن من قبل رمضون دعوت کرده بودم,False,1,1,1
411734297,فدات بیدار شدم اینقددددد گلوم درد میکنه اصلا اب دهنمم نمیتونم قورت بدم ،😷🤕🤕🤕🤒🤒🤒🤒,False,2,1,1
413731261,غلط کرده ۳ میلیون چخبرشه خیلی گرون میگه تهش ۱ و نیم,False,1,1,1
thread_14344920_starter,"من آخرین پریودم ۳۰ تیر بوده
دقیق نمیدونم الان چند هفته ام
اپلیکیشن میگه پنج تموم شده ولی دکتر گفت هنوز چهاری
امروز که جمعه بود تا خارج شهر رفتیم خیلیم احتیاط کردیم
ولی وقتی رفتم دستشویی دیدم در حد پنج شش قطره خون میاد😭😭😭
از وقتی اومدیم هیچ خبری نبوده تا الان که رفتم دستشویی و دوباره پنج شیش قطره خون اومد...
خطرناکه؟ 😭😭😭
خونش رنگ صورتی رو به قرمز داره
حالا چه غلطی بکنم خدایا😭😭😭😭
تو شورتم چیزی نمیاد، فقط وقتی میشینم",True,8,9,4
378990160,برام سونو نوشته که پنجم برم انحام بدم...امید به خدا برام دعا کن کورتاژ لازم نباشه دیگه,False,3,5,2
362214007,عزیزم منم اوایل بارداری  داشتم پماد بهم داد ۷ روز استفاده کردم خوب شدم,False,1,1,1
353721082,"منم بچم یک روز کامل تکون نخورد
بعدش شروع کرد فوتبال بازی کردن
حساس نشو بابا .. خوابه حتما",False,1,1,1
333639726,درکت میکنم دقیقا پارسال تو اسفند یه سقط به خاطر همین مشکل داشتم که البته برای من دوقلو بود قرصا روم اثر نکرد کورتاژ شدم دقیقا یه سال بعد یعنی اسفندی که گذشت فهمیدم باردارم حالا من هردو بارداریمم با دارو باردار شدم اولین بارداریمم بعد سه و نیم سال بود که اینطور شد خدا به دلت آرامش بده سخته ولی میگذره انشالله خدا جاشو با یه نینی دیگه برات پر کنه پوشک بچه بگیر پد جواب نمیده شرت یه بار مصرف هم میتونی از بوفه بیمارستان بگیری,False,2,2,3
342081465,مهم عدد مام هست,False,1,1,1
412014735,ریزش موهاش در حده ۲۰ ۳۰ تا در روز دختر شما داره یا نه؟؟,False,1,1,1
386297156,سوال منم جواب میدی من هفته ی ۱۶همم اصلاشکم ندارم انگارنه انگارباردارم میترسم بچه زشدنکرده باشه هفته ی ۱۲رفتم سونوفقط قرارهفته ی ۱۸برم آنومالی هیچ علایمی ندارم مثل روزای عادی🥺🥺🥺,False,5,8,2
408899084,قربونت برم امیدوارم خدا به دلت ارامش بده با این فکرای الکی و ناراحتیا خودتو داغون نکن,False,1,1,1
267700446,"تهرانم-اينجا همه دكترها قبول ميكنن!!
دكترت رو عوض كن عزيزم",False,1,1,1
308300129,"چرا همه اینجوری شدید بابا یکم اروم باشید شاد باشید بزارید بچه هاتون فردا تو زندگی استرس نگیرن گریه برای چی برید شکر خدا کنید خدا بهتون بچه داده باهاش حرف بزنید شادی کنید براش کتاب بخونید اهنگ بزارید با نی نی تون برقصید از لحظه هاتون استفاده کنید خاطره ی خوب بسازید
برای منم دعا کنید خدا فرزند سالم و صالح بهم ببخشه",False,1,1,1
412186625,"بگو مامان جون این حرفااا چیهههه آقا غلام علی عاشقتونه مامان جوووون
یکم خرش بکن که باهات بد نشع مادر شوهرت
بگو نههه مامان جان اشتباه فکر میکنی اصلااا اینطوری نیست همیشه خوبیتون توی خونمون هست",False,1,1,1
411645393,منم جواب عنوان شما رو دادم,False,1,1,1
410759337,"اخیرا یک هفته ای هس ک زانو درد دارم
قبلا نداشتم اصلا/ 😭 چقد بده بارداری خدایا..... البته همه ک اینطورنیستن، بخدا خواهرشوهرم بارداربود انگار نه انگار همه چی هم میخورد از مرغ و گوشت گرفته تا میوه و سبزیجات، اما منه بیچاره نمیتونم لب به گوشت و مرغ بزنم",False,4,2,4
392847401,بیشترین درد من بی کسیمه .. هیچکسسس پشتم نیست حتی مادرم ک همش ساز سازش میزنه .. شوهرم که بوقه کلا .. خشورشون کلامشون خیلی ازار دهنده س اما بیشترین دردم بی کسیمه ..,False,7,3,8
370109816,خب الان چرا نمیخوای؟,False,1,1,1
347667705,آغوش یار کجابود،سرصبحی دعوامون شد منم دارم گریه میکنم،خودش تا ساعت نه گرفت خابید منم خابیدم،دیوونه شده و بیدار شده گفتم صبحونه تموم شده برو بگیر گف جایی نمیرم،پسرم گریه میکرد صبونه میخام اونم دعوا کرد ساکت شو،از دیشب یکم نون مونده بود اونو دادم به بچه هام پرو پرو میگه اونو من میخاستم بخورم،بعد نشست خورد به بچه ها هر کدوم یه تیکه کوچیک داد،منم الان هیچی نخوردم،,False,8,4,6
360909874,درد 10برابر پریود معمولی .خونریزی شدید با لخته .حدود 10روز .عوارضش کم خونی .عفونت .ریزش مو ...,False,2,1,1
thread_6752768_mahrad70_1400/04/07 05:45,"بخدا همین کارو کردم دو ساعت تمام چشمام بسته بود
تکرر ادرار گرفتم نمیدونم چم شده",False,3,5,1
349210145,ببین دخترم وقتی سیر بشهذحتی ۱۰تا از شیرخشکش مونده باشه دیگ‌نمیخوره اصلا یعنی اینطوری نیست هرچقدر شیر بهش بذم بخوره متوجه نشه چون مادرشوهرم‌میگه شاید سیر شده فقط متوجه نمیشه کوچیک و‌همش ادامه میده ولی فکر کن‌از هردو سینم شیر میخوره وقتی میخوره هی بزور نگهش میدارم‌وگرنه میخواد سینه از دهنش بیاره بیرون بعد ک ۲۰دقیقه هم شیر خورد ۹۰تاشیر خشک‌حتمااا میخوره شده۱۲۰تاهم خورده چون اصلا سیر نبوده یبار۹۰تا بعد شیر خودم به شیر خشک دادم باز گریه کرد۳۰تا دیگ‌خورد کامل  سیر شد خوابید,False,4,5,1
413776438,"فقطم برای این نیست تو کامنت بالا تر گفتم
کلا از ازدواج بدم اومده
اگه از این جدا شم تا اخر عمرم مجرد میمونم چون میترسم نفر بعدی بدتر باشه ، از طرفی از تنهایی میترسم ، میترسم زبونم لال مامان بابامو به خاطر افزایش سن از دست بدم و تو این دنیا تک و تنها بدون خانواده  بمونم 😑",False,7,9,6
333533237,نه نیتروژن اوره خونت  اصولا باید بای ۷باشه و شما نرمالی آب زیاد بخور بخاطر کم آبی تو کلیه این می‌ره پایین از شما نرماله,False,1,1,1
344160529,فکر خودت و تو راهیت باش استرس برات خوب نیست متاسفانه اکثر آقایون حرفاشون تا عملشون .... اگر میتونی برو مشاور خانواده,False,1,1,1
396887263,بیخیال الان پاییزه همه کلی عطسه می‌کنند طبیعیه شما هم چون بارداری همیشه فکر بچه ای اینکه این دو تا با هم هماهنگ شن خیلی عادیه چرا ربط میدی اخه,False,1,1,1
310257577,"بدو بیمارستان دختر جون زنگ بزن به دکترت
ماه چندی",False,1,1,1
394069566,"کی میکه ضرر داره
نزدنش ممکنه خطرناک باشه برای خودت  البتا ممکنه هیچ مشکلی هم پیش نیاد",False,1,1,1
thread_12932299_starter,"سلام خانوما. ۸ روزه که سقط کردم  و خونریزی دارم چقد بعد سقط باید بریم سونو برای بقایا؟
و اینکه درد مقعد و ناف طبیعیه بعد سقط؟",True,4,5,2
362211409,بلهه من خودم سردخترم ازمایشم مشکوک بود انقد گریه کردیم با همسرم بعد غربالگری مرحله دوام دادم اونم مشکوک شد امینو شدم و سر پسرمم بازم غربالگری اولم مشکوک بود بااینکه میدونستم سالمه ولی بازم niptدادم نمیتونستم تااخر بارداری صب کنم ببینم معلوله یان بعضیا نمیدونم چجوری ریسک میکنن,False,7,8,4
387996343,میترسم همسرم آدم متدینیه ولی از بس تو پروژه ها که می‌ره با همه جور آدمی همنشین میشه میترسم,False,5,7,1
413123507,"تاپیک قبلت رو خوندم ..
واقعا منطقی نیست که هر شب جدا میخوابه",False,1,1,1
321738278,میگم اگه جذبی نبوده چطورعفونت نکرده؟ قبل اینکه بارداربشه باید یه متخصص زنان میگفت یاچک میشد,False,1,1,1
362743486,"چون بعضی آدم ها عوضی هستن
عزیزم من خیلی مشاغل رو دیدم کلا شگردشون اینه هر ماه بکی رو میارن آخر ماه میزنن بیرونش می کنن نفر بعدی همین طور یک ماه یک ماه بیگاری می کشن از افراد
واسه همین همیشه میگم اول کار قرارداد ببندید اونم حتما دو نسخه که یکیش دست خودتون باشه تحت یک نسخه دست کارفرما هیچی نداری عملا",False,1,1,1
380354264,شما که هم تهران زندگی کردید هم شمال به نظرتون یک دختر مجرد می‌تونه شمال تنها زندگی کنه؟ تهران براش امن تره یا شمال؟,False,2,4,1
411872888,چون سوره قویه و اونا خیلی اذیت میشن و در نهایت هم بعد چله برای همیشه میرن(این کارارو میکنن که دست برداری از خوندن),False,1,1,1
397481384,استرس به خودت نده,False,1,1,1
thread_13106295_starter,سلام دوستان من طبق اخرین پریود الان ۸ هفته و ۴ روزم امروز رفتم سونو واسه تشکیل قلب دکتر گفت ۶ هفته و ۴ روز هستم و فقط ساک تشکیل شده جسم زرد و جنین نیست کسی بوده اینجور بگه دکترش؟؟؟خیلی استرس گرفتم لطفا جواب بدید😭😭😭,True,8,9,4
353718851,بیا تاپیک قبلی زیاده,False,1,1,1
thread_6077129_ورودجدید_1399/12/23 13:49,تا ۸ هفته صبر کن بعد برو,False,1,1,1
413742082,انشالله نوبتت بشه برای منم دعا کن خیلی دلم میحواد ازدواج کنم مادر بشم,False,1,1,1
328856148,دایرکت میدن دیگع,False,1,1,1
349730466,امیر رضا .....آیهان,False,1,1,1
thread_17950084_starter,از استرس قلبم داره وایمیسه،من سونو انتی رو رفتم ولی فک کردم ازمایش خونش مهم نیست نرفتم،الانم چهارده هفته ام چیکار کنم؟بخدا دارم دیوونه میشم,True,9,9,2
361814943,بگو من کارخونه ی بچه درست کن نیستم. دکتر برم ازتو هم آزمایش اسپرم میگیرن. چقدر رو دارن مردا ک اصلا خودشونو مقصر نمیدونن,False,4,1,1
399964509,سونو هیچ مشکلی نداشت، فقط ازمایش انتی ریسک کمی رو نشون داد که من خیلی بابتش استرسی شدم و درست وقتی جواب سلفریم اومد که سلامته سلامته ،رسید دستم رفتم دمتر نشون دادم یه سونو بابت طول سرویکس نوشت و اونجا بود که فهمیدم دیگه ندارمش،آرامش خودتو حفظ کن که خدا نگهدارشه،و هیچ کس اندازه خودت نمیتونه بهش اسیب بزنه با استرس!,False,7,6,3
313818887,"مام یه فامیل داریم وقتی بخوای دعوتشون کنی میگن ما دوس داریم خواهر برادری با هم بیاییم
میشن ۶۰ نفر
منو مامانمو ابجیم هرکدوم ۲بار دعوتشون کردیم
دیدیم به روی مبارک نمیارن دعوت کنن
منم دعوت کردم که بچه هامم در عوص ببرم مهمونی خونشون و سرگرم بشن
دیدم نه که نه
الانم اگه جایی ببینم تصمیم گرفتم به روشون بیارم
چون خیلی بدم میاد کسی حس زرنگی کنه",False,4,1,1
thread_15042181_starter,هجده ماه پیش به خاطر مریضی برادرم مجبور شدم پسرمو سقط کنم هنوزم نتونستم فراموشش کنم هنوزم شبا با گریه می‌خوابم همش میگم نکنه دکترا اشتباه کردن نکنه بچه ام سالم بود خدایا این چه درد بی درمونی بود من بدبخت و گرفتار کردی,True,7,7,9
348801449,منم بچه سوم   ناخواسته. خیلی اذیتم اصلا نمیخوام. الانم روز و شبام تاریکه افسردگی شدید  حال ندارم پاشم وسایل آماده کنم  وزنش پایین شاید باشه  اصلا میلی به غذا ندارم  شما چه طور روحیه داری. من که به خودکشی فکر میکنم. باز میخوام سزارین شم اعصابم خورده ای کاش مثل بعضیا  چنین بمیره,False,8,5,10
thread_17510600_starter,"کسی سابقه داشته که لاغر بوده باشه بعد یهو وزن اضافه کرده باشه ترکای صورتی و قرمز بیوفته رو پوستش؟؟؟
خوب میشن منظورم اینه که از بین میرن مثلا اگه لاغر کنم دوباره؟؟
پمادی چیزی مصرف کردین واسشون اگه مورد مشابه داشتین یا نه؟؟؟
لازم برم دکتر؟؟؟کاهش وزن تاثیر داره؟؟؟؟",True,3,4,1
thread_10185456_starter,"ببننیل‌. سنسننسه ینین؟ ججکسمق نینسس،😭😭😭
نبنیننس😐😐😐
ینبننینسمس؟",True,1,1,2
thread_13170997_starter,"انگار من خوشم میاد برم سونو اضافی
نگرانی و استرس اضافی داشته باشم
بخدا دکترم میگه، تازه دکترمم قبول داره
هی میگه داری زیاده روی می‌کنی
همه این سونوهایی ک رفتی تهش فهمیدیم هیچیت نیس😐😐 چرا رفتی
فلان دارو رو چرا میخوری
بخدا انقدر ک این ب من فشار میاره تو بارداری، ویار و و باقی دردام اذیتم نکرده...",True,8,8,2
383183076,به من نگفتن🥲😒,False,1,1,2
413174365,خدا که مثل ما بنده ها نیست حتما میبخشه,False,1,1,1
393892368,گفت دوهفته دیگه بیا ۱۰ هفته بود,False,1,1,1
388759073,"میشه لطفا تایپیک دلداری میخام منو گزارش بزنی لطفا زنده باشی
میدونی چن نفر باید بزنن بترکه؟",False,2,2,3
338901308,"استرس نداشته باش میتونی یک دونه قرص پرانول مصرف کنی
صادرک و کدرتا حفظ باش مراحل شروع رانندگی
زمان سوار شدن و پیاده شدن از پشت ماشین رد شو از جلو زد بشی ردی
خاموش کنی ردی
هر کجا که ممنوعه بود ولی گفتن دنده سه برو یا ایست کن یا دور بزن از کلمه استثنا استفاده کن
فرمون را دو دستی بگیر یک دستی بگیری ردی
در ماشین با دست راست باز کن
آزمون تمام شد بپرس که ماشین خاموش کنم یا خیر
دور دو فرمان و دنده عقب و دوبل بلد باش
همینا یادم هست برای ده سال پیش",False,1,1,1
344993204,از بیکاری بهتره تا شغل مناسب تر پیدا کنی,False,1,1,1
384557453,سلام روز های زوج از ساعت ۱۰ونیم تا۱۲  یا از ساعت۲تا۳ بعد از ظهر لینک سایت مورد نظر رو برای نی نی یار می فرستید و میگین حذف شه,False,1,1,1
375179792,عزیزم شهرستان باشین اجاره مناسب پیدا بکنین خودت و خواهرت و مامان بزرگت برین . بذار پدرت هم پیش عموهاش بمونه . ناراحت نشی وعذر میخام این تاپیکات که یه دوتاش رو گذرا الان نگاه کردم همه از بی عرضگی پدرت هست . اون عموهای الدنگت هم نکنه خدای نکرده رفتار ناشایست با خواهرت داشته باشن ؟؟ مرد معتاد و بیعار و بیکار ،عقل تو کله اش نیست و به درد جرز دیوار هم نمیخورن.,False,2,2,1
395720471,نمیشه شکایت کرد,False,1,1,1
412629104,من ک معده درد بیچارم کرده اصلا نمیتونم ی دل سیر غذا بخورم,False,4,1,1
317671572,بیرون میومد که میفهمیدم,False,1,1,1
