unique_post_id,member1_prediction,member2_prediction,fusion_stress_score,true_class,base_model_disagreement,nearest_threshold_distance,active_learning_score
411594562,3.900385496148023,1.3771899,2.827865108860336,High,2.523195596148023,0.2675733938416638,0.9021839635585738
378229233,3.4290188939554427,6.1119394,5.405456932325292,Moderate,2.682920506044557,0.5002961170302918,0.9018852373112253
408590151,3.722991939604343,6.417525,5.796463687442103,High,2.694533060395657,0.6656714285033969,0.8830165379002699
thread_16092848_starter,5.09070859471097,7.646998,7.125248796065398,Very High,2.5562894052890304,0.6631136801198974,0.8826480948313689
thread_14620497_starter,5.640867704266599,2.9260108,3.716675808870817,Low,2.714856904266599,0.6212373061688172,0.8789820415897456
380979059,1.0961060127480269,3.6926029,2.675890742372707,Moderate,2.596496887251973,0.41954776032929253,0.8767354210164363
thread_17990065_starter,4.7815022206137865,6.9561186,6.295554597137348,High,2.1746163793862134,0.1665805188081526,0.8467868290004653
332302439,3.620151870886904,6.1958914,5.48400035446276,High,2.575739529113096,0.5788395391677597,0.8399454233714055
402306616,3.5010962975930857,5.8309183,5.161533233088633,High,2.3298220024069147,0.2563724177936333,0.8316932959213977
thread_7141935_starter,4.213023670573451,1.6146805,2.4817506692445286,Low,2.5983431705734508,0.6136878334574711,0.8303573964648878
374344414,2.641775399247952,5.0508833,4.568001924993555,High,2.4091079007520477,0.33715889030144464,0.8270743091998364
401177095,2.417499757508545,4.931563,4.398560581736336,Moderate,2.5140632424914546,0.5066002335586637,0.8191557548358722
382860609,2.9081997053373305,5.2128,4.599843336943414,Low,2.304600294662669,0.3053174783515855,0.7951572489092517
282470579,4.336846877041912,1.9720938,2.6607757593670627,Low,2.3647530770419127,0.43466274333493704,0.7734144406671958
290555824,4.460540621420948,6.708117,6.071308002605354,Moderate,2.2475763785790512,0.39082711334014597,0.7684933046738555
thread_18013153_starter,3.562674000529912,1.0613449,1.8615113875246925,Low,2.501329100529912,1.2339271151773072,0.7295238902495206
332917007,2.0651154602926414,4.4234858,3.73239338506352,Low,2.3583703397073585,0.6369548823615201,0.7242018593529406
352774507,3.688046362013425,5.9239683,5.35529322536656,Low,2.2359219379865753,0.4501324100715598,0.7238286410841468
