unique_post_id,oof_fold,group_id,author,thread_id
342840964,0,G00366,مشکیناز,13857981
343170051,0,G00367,نازگلی7850,13877370
343414833,0,G00369,arameshzengi,13891419
343541130,0,G02775,sarazbi,13899097
344080860,0,G02780,moihگتا,13931029
344195999,0,G00375,ستاره525,13938093
344693455,0,G02784,ارهههه؟آره,13969245
345255002,0,G00277,اسفندی۷۶,14003422
345389872,0,G00388,تیبره,14012117
345515493,0,G02789,هوای_بارانی_1234,14019961
345877830,0,G02792,ممدعشقم,14042390
346387773,0,G01536,maman23,14074444
346511628,0,G00398,tayna22,14080765
346576896,0,G00400,roshany8,14084738
346695829,0,G01667,آ۰رام,14091401
347070156,0,G02797,راضیه_ای_که_راضی_نیس,14113340
347156672,0,G00405,kqasedak,14118568
347465549,0,G00408,کردگار,14138266
347940985,0,G00412,نامزدحبیبم,14166779
347943397,0,G00412,جیگری0088,14166779
349281513,0,G00420,minayism,14258472
349283853,0,G00420,niloam,14258472
349548098,0,G00424,ksixhehd,14274029
349576812,0,G02278,nasim007,14275422
349763399,0,G02810,دختر_کاپشن_صورتی,14286096
349854709,0,G02279,helia1403,14289640
350215566,0,G02813,_min1403,14310942
350368660,0,G02281,سحرجوانمرد,14319406
351662776,0,G00440,خررسییی,14392903
352137919,0,G00444,خاله_خرسسسسه,14421324
353194502,0,G02824,دریا_خانووم,14484269
353431392,0,G00452,دانشمند_قلدر,14494704
353725776,0,G00452,دانشمند_قلدر,14494704
353941547,0,G02829,shike,14463889
354414779,0,G02831,مامی_زرشکی,14558596
355737512,0,G00470,غریبک,14635132
355826080,0,G02835,دختر_زودرنج,14644222
355946640,0,G02287,رویا_شيرين,14651009
356510099,0,G01717,زندگی_در_رنگ_خوشبختی,14686002
357294963,0,G00485,شهربانو۱۳۷۲,14726669
357393982,0,G00486,رخساره64,14741164
357754465,0,G00488,پانداسفیدگلبهی,14761518
357891263,0,G01596,سحرسحرآمیز,14768783
358996742,0,G00494,هستی1359,14831228
359392451,0,G00499,m1364a,14852573
359395723,0,G00499,m1364a,14852966
359397260,0,G00499,aآزی,14852966
359714068,0,G02851,زن_ممدقولی,14869934
359715319,0,G02851,hapoei,14869934
360229418,0,G02854,جذابجون,14898958
360559613,0,G02299,نگین_79_68,14918657
360909082,0,G02857,khanom_jan2117,14938621
360909874,0,G02857,maryyyhastam,14938621
361814943,0,G02858,abjitoonam,14988486
362109977,0,G02860,ترنمجیغجیغو,15004914
362193039,0,G00525,جاری_همتونم,15009587
362535169,0,G00529,مامانparinaz,15028384
362535255,0,G00529,kokomelon,15028384
363112002,0,G02867,بانویمادر1368,15059471
363179312,0,G02301,mehrsa9699,15063167
363179735,0,G02301,۳۱۳۱,15063167
363572316,0,G00538,gthllwthy,15084417
363572530,0,G00538,gthllwthy,15084417
363990653,0,G02873,هلسین,15106812
364404260,0,G02875,mahadese,12442239
364481657,0,G00544,1214ww,15133560
364820479,0,G00549,maman_fandog03,15151624
365039360,0,G00552,the_pearl,15164222
365172635,0,G00555,roshanak96,15172215
365187127,0,G02878,samyarmamanii,15172902
365959999,0,G00561,fereshte8darya,15218915
366988409,0,G00398,tayna22,15276796
366988563,0,G00567,1207da,15276831
367005337,0,G00568,vahshiii,15277360
367102002,0,G00567,1207da,15276831
367233917,0,G02306,مهروماه15151515,15290425
367820028,0,G00569,گریفیتوموشهایش,15324483
367820735,0,G00569,sana2345,15324483
368095658,0,G02889,دنیز۸۶,15340361
368438789,0,G00574,nilofar_abiix,15361437
368673842,0,G00576,خوشگلشونم,15374958
368674585,0,G00576,babre_maghroor,15374958
368908917,0,G00578,dokhtaretnhaaa,15388777
368909539,0,G00578,dokhtaretnhaaa,15388777
368972410,0,G02893,mmm1383ممم,15392544
369939985,0,G02897,پربالامم,15449941
370373041,0,G02900,kساهره,15474651
371075891,0,G00597,elale,15515768
371118936,0,G00598,مامانمهربونننننننن,15518490
371156249,0,G00599,پپاپیگ۶۹,15520412
371706573,0,G00604,گلی_گلی_خانوم,15552854
372123879,0,G00607,rasta1996,15580398
372245412,0,G00608,eliagoli,15588111
372483489,0,G02912,99poni,15602875
372941920,0,G01667,آ۰رام,15631677
373621058,0,G02915,دنیاااااایییییییییی,15674164
374774707,0,G00630,نوراحیل,15744265
374786131,0,G02918,سفیدبرفی۱۳۷۶,15740960
374787581,0,G02918,selo,15740960
374945214,0,G02920,زییوکولو,15754292
375825482,0,G00607,rasta1996,15806328
376719954,0,G02924,سدات,15861547
377395824,0,G02927,elleryyyy,15903261
377493610,0,G00654,ar07,15909634
377584533,0,G00740,الیناودیمن,15915572
378076815,0,G00659,zahra_d_d,15947574
378330536,0,G00661,_rahgozar_,15962555
378844541,0,G00667,گلبانو۱۳۷۸,15993106
379303630,0,G00670,زیبا1696,16020398
379562141,0,G01703,fatiiiee,16036280
379705435,0,G00674,faghatkhodaaeiiiiaa,16044565
379885212,0,G02938,aynaz1395,16055433
380354264,0,G02940,imrojiiii,16084513
380370189,0,G02938,nooraa72,16055433
380447413,0,G00684,کاربری_جدید_نیستم,16090738
380450039,0,G02941,123bandekhoda,16090826
381182145,0,G02949,pparyf,16137123
381367238,0,G00697,sahel6065,16148537
381395830,0,G02318,n_ah,16150230
381814979,0,G00699,جاری_پولدار,16176272
382416407,0,G00710,tasniim16,16213621
382609083,0,G00713,737300rahajoon,16225079
382623880,0,G00714,مریم717171,16185624
382950755,0,G00719,zizikhano0m,16211783
383020488,0,G02964,lor_sevin,16251295
383199179,0,G02966,silvermoonsilvermoon,16262315
383220686,0,G00725,خاغخبیملخغ,16263572
383263085,0,G00726,fandogh_jame,16266255
383447534,0,G02969,rooniiii,16277154
383754263,0,G00731,یک_عدد_گربه,16295930
384642987,0,G02976,دلوین10,16348772
384670219,0,G00740,الیناودیمن,16350368
384696775,0,G02977,alisanabad1402,16351785
384785733,0,G00742,00eshgh00,16357153
384801328,0,G00744,ایساناحسان,16358073
385175430,0,G00742,00eshgh00,16379824
385177848,0,G00742,00eshgh00,16379824
385191973,0,G00747,1kiyanam1,16380710
385312184,0,G00749,دنیایم۸۷,16387430
386026087,0,G00758,جانمr,16430418
386297156,0,G00798,barfi6,16447571
386719708,0,G00761,چموش_وحشی,16472901
387802319,0,G00742,ملیکا۱۴۰۰,16534287
387802752,0,G00742,00eshgh00,16534287
387996343,0,G02474,mahdokht1369y,16545448
387998903,0,G02474,mahdokht1369y,16545448
388236794,0,G02991,تبسمبهار۶۹,16556623
388238232,0,G02991,نگارمحمدی,16556623
388300548,0,G02992,گلنگار۱,16563041
388359045,0,G02993,وی,16566309
388403281,0,G02334,مایسلف,16568837
388549106,0,G00774,الف_لیلیان,16577623
389018432,0,G00780,rو,16587836
389138549,0,G00783,ملکه_الیزابت_29,16613599
389824337,0,G00790,fsbbczunv,16654923
389959078,0,G00794,fa_fa_19,16663424
389959435,0,G00794,zarii76,16663424
390500151,0,G00798,سبزیی,16696145
390655435,0,G03006,دتربابایی,16705399
391019290,0,G03008,gity1388,16727536
391020608,0,G03008,gity1388,16727509
391392931,0,G02337,aisin70,16750360
391511277,0,G03010,عشقمهشوهرم,16757442
391723078,0,G00810,momeni75,16769958
391723321,0,G00810,narsis_nar,16769958
392059520,0,G00811,nszilaa70,16789567
392223843,0,G00812,دکترخرگوشیانو,16799399
392283087,0,G00731,skyblue1056,16803152
392460946,0,G02338,firooze888,16813387
392839463,0,G00818,hourglass1,16832603
393035117,0,G00820,alolololo,16848025
393334471,0,G01828,افتاب_گردان,16866912
393824514,0,G00831,آرن_5953277,16894015
394084719,0,G00835,shirintarazangabin,16913727
394197803,0,G00697,sahel6065,16920791
395000084,0,G03022,thegirl,14673472
395358611,0,G03026,گلایول56,16992491
395647177,0,G00798,sarnevehst,17008599
396028101,0,G00848,سوسک_میقولی؟,17031024
396101043,0,G01828,افتاب_گردان,17035596
396708197,0,G00893,mahbanoo3333,17072011
396810478,0,G00907,اقدام1404,17053107
396989197,0,G00856,mixx,17088857
396991056,0,G00856,ساراکاف,17088857
397405759,0,G00861,aylllinjan,17114483
397698090,0,G00864,فاطیجون9090,17132341
397708369,0,G03040,غزلممممممممم,17133141
397935853,0,G00740,الیناودیمن,17147057
398042046,0,G00798,sarnevehst,17153710
398042122,0,G00798,سبزیی,17153710
398042327,0,G00798,سبزیی,17153710
398989666,0,G00875,آذرایزد,17215582
398990761,0,G00875,صندی,17215582
399017252,0,G00877,یااااافاطمه,17217578
399017729,0,G00878,hadis_26,17217614
399251510,0,G00880,طناز20,17232189
399456112,0,G00882,ليلا93,17245644
399742360,0,G03049,فریما۰,17264516
400090316,0,G00798,سبزیی,17287715
400310806,0,G01508,halmaaa,17301641
400419489,0,G03060,دلسترسرد,17308381
400475368,0,G00893,mahbanoo3333,17311940
400522403,0,G01986,auhayyy,17314775
400912217,0,G03065,dielelham,17332869
400976772,0,G03066,rozhena,17343181
401043005,0,G00907,اقدام1404,17347259
401131794,0,G03067,شانا۲۷,17351767
401280266,0,G03068,hghggcgct,17362813
401452228,0,G03070,دختری_خوشبخت_عشق_طلا,17373715
401848171,0,G03077,5mama,17397822
401877655,0,G03079,maman_a_,17400901
402034256,0,G00924,سارینوسورنا,17410868
402172260,0,G03083,قلب۸۸,17419705
402441162,0,G02355,مامان1حسین,17436685
402865439,0,G00935,مبیتی,17463694
403045920,0,G03088,maypan,17474537
403180853,0,G03092,abcdbcda,17482831
403181895,0,G03092,abcdbcda,17482831
403194908,0,G03093,ت۸۷,17483739
403389114,0,G03066,rozhena,17496318
403444721,0,G00944,دکترارنست,17499939
403582489,0,G03101,رزاناا,17508857
403700566,0,G00950,77ss77,17516392
403718234,0,G00951,والراشتاین,17517498
404338167,0,G00959,زهراخانووممم,17544830
404410569,0,G00960,تاکنامان,17560935
404463628,0,G03108,tarajrafte,17564319
404604139,0,G00963,freshtejon,17573313
404664506,0,G00964,آییییناز,17577322
405001154,0,G01924,fatemeh821305,17599397
405671482,0,G00976,arnika99,17641094
405692122,0,G03079,maman_a_,17642414
405781080,0,G01955,بربادورها,17647843
406033633,0,G03120,parimehmahi,17662540
406497498,0,G03127,dokhta88877dokhtar,17686508
406538040,0,G00994,lonely__,17688506
406828203,0,G00998,faghdkhoda,17702649
406876865,0,G01942,7272,17705262
407046659,0,G01001,دخترغروب,17714157
407162803,0,G01002,darya000darya,17720467
407551143,0,G01932,sarina_mmmm,17656049
407688752,0,G03140,nastaram,17749067
407816395,0,G03142,20fatiiiiiiiii,17756365
407849836,0,G01014,جاسوئیچی,17758084
407878786,0,G02366,zizibanoo20,17753507
407884663,0,G03145,مامی_محمدحسین3,17760010
408305259,0,G01022,دلوانننننن,17785030
408336125,0,G03148,شک,17745195
408408137,0,G02368,baran790079,17790854
408510507,0,G03150,helia9777,17797167
408567700,0,G01030,sh12sh34sh56,17800625
408616722,0,G01032,بانو1396,17792227
408871431,0,G02370,mananfateme1400,17818798
408982093,0,G01047,آفرودیتهپاپپزی,17825779
408982773,0,G01047,پولکی123,17825779
409094641,0,G01050,سم_سم94,17831740
409128435,0,G03157,zozo_72,17833786
409626473,0,G03164,بانو۳۰,17861282
409818160,0,G00697,sahel6065,17871958
409835725,0,G01059,pariparis,17870261
409893476,0,G01060,کنجد405,17876373
410025353,0,G00697,سروخرامان,17871958
410156241,0,G02016,tanaz747,17891580
410184223,0,G01144,آبشار7,17893321
410425855,0,G02373,دخترکم۱۴۰۱,17906629
410468757,0,G00726,fandogh_jame,17908961
410535996,0,G01072,militaooo,17912675
410751083,0,G02374,عقیق۲,17925170
411035591,0,G03169,گلدون_شمعدونی,17941387
411662374,0,G01090,بهاره1386,17977038
411700075,0,G01095,دختر_زمستون۱۳۷۵,17979166
411734297,0,G03183,ملکه455_,17981159
411863941,0,G01107,مامان_لنا_بانوو,17988097
411892933,0,G01111,من_وسط_پیازم,17989509
411893671,0,G01111,وارانم,17989509
411897766,0,G01113,مریم_راد3,17989673
411940700,0,G03194,3685_ertyi,17992016
412017527,0,G03198,____نور____,17996654
412054537,0,G01122,saniyar74,17999061
412139600,0,G03202,آذر_57,18003836
412150072,0,G01128,niushhhh,18004393
412173161,0,G03204,روح_کویینز_تاون,18005675
412256942,0,G02380,4got10,17998750
412383763,0,G01144,آبشار7,18017756
412533375,0,G03221,۱۵کاربری,18026432
412629104,0,G03226,aliceinwonderland,18030583
412778392,0,G01159,کهکشان_راه_کاکایویی,18040292
412804020,0,G01161,party_kiss,18041590
412804987,0,G01162,siiindokht92,18041515
412807633,0,G01162,j_a_na,18041515
412845568,0,G02382,mathfateme97,18043797
412917318,0,G03236,دخت_ملکه,18047939
412965629,0,G02069,maneli93rita,18048505
413151176,0,G03251,نعچچتلدددطسیاتنتابیی,18061210
413162468,0,G03251,zhtys,18061210
413173949,0,G01180,nn_z,18062713
413178171,0,G02390,بهاررییییییی,18062953
413215750,0,G01184,narggeess,18049365
413220026,0,G03254,79meerii,18065201
413243642,0,G03256,آنادخترایران,18066383
413257877,0,G01189,setareh1980,18067147
413304931,0,G03258,roza1995,18069905
413320416,0,G01193,بانوملیکا,18070691
413344644,0,G03263,eyjyejeyje,18071801
413389481,0,G01201,helen_j,18080409
413393830,0,G01202,فف46,18081150
413420821,0,G01205,نیلا_دختر_پاییز,18083837
413435486,0,G01208,دخترزیبام,18085330
413451433,0,G01210,جفت_شش,18086705
413465170,0,G01213,_mpanah_79,18088029
413473991,0,G00674,faghatkhodaaeiiiiaa,18088442
413488999,0,G01218,ollllll,18090309
413506290,0,G03274,ezm1404,18091878
413555585,0,G01225,mehrita,18093566
413625762,0,G01230,haftkhat,18104429
413858838,0,G03298,سمانبتمیلامیبن,18129935
413869690,0,G03299,تاقانکممم,18131223
413876728,0,G02397,دختره_ی_بدشانس,18132012
413876910,0,G02397,ماهان110,18132012
413927642,0,G01251,مریم_گلی87,18137858
413927763,0,G03304,negiiinjooon,18137879
413928523,0,G03304,رزمانا,18137879
413934665,0,G01256,دختر_مامانمم,18138529
413936747,0,G03313,ش_م,18138837
413938097,0,G03317,marshmalooo,18138805
413938615,0,G01257,شااد,18139023
413939329,0,G03317,mah85,18138805
413941725,0,G01260,ششوشد,18139340
413944378,0,G01263,فردخت۲,18099973
413949119,0,G03330,نگارجون85,18140153
413954432,0,G01275,کاشمیشد,18140577
413956749,0,G02397,دختره_ی_بدشانس,18140471
413958022,0,G03337,سم_پاش_عصبانی,18140676
413960884,0,G02403,سازسرنوشت,18141547
413964125,0,G03340,khanm_m,18141901
413964760,0,G02969,rooniiii,18141990
413968504,0,G01283,مامان_فندوق۵,18142379
413972383,0,G01287,abbasi1991,18142809
413972763,0,G03349,میوعلیکم,18142801
413974668,0,G03350,ziizii72m72,18142626
413976459,0,G03352,گل_حسرت,18143332
413980052,0,G03354,setayesh1400,18142738
413980635,0,G01296,آیسااان73,18143761
413981689,0,G01296,آیسااان73,18143912
413985713,0,G01283,docharmm,18144433
413985873,0,G01283,مامان_فندوق۵,18144433
413986795,0,G01303,ninaritti,18144560
413988641,0,G01304,mahgol0,18144713
413990921,0,G01306,11artemis,18144880
thread_10182598_starter,0,G02413,nafsii,10182598
thread_10222994_starter,0,G03367,motimo,10222994
thread_10322275_starter,0,G01327,آیندمومیسازم,10322275
thread_10374263_starter,0,G01329,elahhhhh,10374263
thread_10379801_fatima24_1401/11/28 00:25,0,G02416,fatima24,10379801
thread_10379801_pegah00_1401/11/28 00:14,0,G02416,pegah00,10379801
thread_10393495_starter,0,G03370,mehrsaa23,10393495
thread_10410834_starter,0,G02413,nafsii,10410834
thread_10411494_روح_حیران_الدوله_1401/12/02 00:21,0,G03371,روح_حیران_الدوله,10411494
thread_10913873_بهاااار۷۷_1402/02/02 15:33,0,G03375,بهاااار۷۷,10913873
thread_10920848_starter,0,G03376,عرشیااااجوووون,10920848
thread_10929344_مامان_زهرا2_1402/02/04 15:03,0,G03377,مامان_زهرا2,10929344
thread_11034227_starter,0,G03381,setareh_mazyar,11034227
thread_11045364_starter,0,G01341,سونیا۱۲۳۰,11045364
thread_11210265_sogoli7279_1402/03/09 20:06,0,G01352,sogoli7279,11210265
thread_11258649_starter,0,G01354,محناتونم,11258649
thread_11308009_starter,0,G01356,fatima7148,11308009
thread_11355279_starter,0,G03387,2027fateme,11355279
thread_11417052_momy_deniz_1402/04/05 19:22,0,G01358,momy_deniz,11417052
thread_11421164_starter,0,G00095,مامان_نازیلا,11421164
thread_11428732_starter,0,G00095,مامان_نازیلا,11428732
thread_11508674_شاهپسرمی_1402/04/17 23:00,0,G01362,شاهپسرمی,11508674
thread_11521204_starter,0,G00124,5elijoooooooon,11521204
thread_11587309_starter,0,G03393,رستا3489,11587309
thread_11615324_starter,0,G01365,negar1998,11615324
thread_11658331_starter,0,G01370,بامزه_باقلوا,11658331
thread_11761771_starter,0,G03395,tdte5536fyf,11761771
thread_11855670_starter,0,G01380,melika_mother,11855670
thread_11956298_starter,0,G03403,darya88443,11956298
thread_12084168_جوجوطلا۵۳_1402/06/31 00:16,0,G01392,جوجوطلا۵۳,12084168
thread_12084168_سقزیااااااا_1402/06/30 23:41,0,G01392,سقزیااااااا,12084168
thread_12254105_دختــرشیــرااازی_1402/07/27 18:32,0,G03410,دختــرشیــرااازی,12254105
thread_12329536_starter,0,G03414,سانیرینسدت,12329536
thread_12488568_starter,0,G01413,borj,12488568
thread_12490703_سالادباسس_1402/09/14 08:04,0,G01414,سالادباسس,12490703
thread_12511452_starter,0,G01415,1419mah,12511452
thread_12558882_starter,0,G01566,fariba1367,12558882
thread_12584343_starter,0,G01418,6119lili,12584343
thread_12622997_starter,0,G03419,isvevieb,12622997
thread_12626461_starter,0,G01422,آفتابگردووونی,12626461
thread_12626461_ماه_تاریک_1402/09/24 20:13,0,G01422,ماه_تاریک,12626461
thread_12664279_starter,0,G01423,اسماااااان,12664279
thread_12729765_starter,0,G02431,fereshtehbano,12729765
thread_12767944_starter,0,G02432,ترااااااااااانه,12767944
thread_12779069_starter,0,G00156,پیتزااااتپووولی,12779069
thread_12837509_starter,0,G02434,fatemeham78,12837509
thread_12937930_starter,0,G01440,۸۰۰۹۱۸,12937930
thread_13024186_starter,0,G02436,نمیدونمچیبزارمازدستن,13024186
thread_13033480_starter,0,G00960,تاکنامان,13033480
thread_13083921_babre_maghroor_1402/12/01 23:58,0,G00576,babre_maghroor,13083921
thread_13084962_اقاقیا13_1402/12/02 02:33,0,G03423,اقاقیا13,13084962
thread_13100396_starter,0,G00861,aylllinjan,13100396
thread_13119720_starter,0,G01450,شاهده_بانو,13119720
thread_13126328_starter,0,G01452,چمچاره۲,13126328
thread_13158430_starter,0,G01456,66homa,13158430
thread_13215756_starter,0,G01461,sara5055,13215756
thread_13330577_starter,0,G01470,همتا۹۵,13330577
thread_13382485_starter,0,G01471,mt1997,13382485
thread_13401210_starter,0,G01452,چمچاره۲,13401210
thread_13648135_starter,0,G00332,mimbanoo,13648135
thread_13658744_starter,0,G00398,tayna22,13658744
thread_13681327_starter,0,G01503,gisookamandmaman,13681327
thread_13758742_starter,0,G01507,ninininirre,13758742
thread_13784977_starter,0,G00398,tayna22,13784977
thread_13790145_starter,0,G01508,آرامش۷۸۲۸,13790145
thread_13792458_starter,0,G01509,marym14,13792458
thread_13795820_starter,0,G01511,banoo12345,13795820
thread_13874574_starter,0,G01514,مینا۶۵۶۵,13874574
thread_13924111_starter,0,G00398,tayna22,13924111
thread_13950623_starter,0,G01522,eliii_1400,13950623
thread_14025896_starter,0,G01528,1380ss,14025896
thread_14030200_starter,0,G01530,الهه74,14030200
thread_14032585_starter,0,G01531,فاطمه_1400,14032585
thread_14033856_starter,0,G01532,کاربر_نینیسایت,14033856
thread_14074444_starter,0,G01536,fateme1909,14074444
thread_14101047_starter,0,G01538,میس_بلک,14101047
thread_14116034_starter,0,G01539,دخت_مینو,14116034
thread_14123256_starter,0,G03438,71_e_,14123256
thread_14274029_starter,0,G00424,سقوط۱۲۹۰,14274029
thread_14306709_starter,0,G01554,setarih,14306709
thread_14336386_starter,0,G01556,بهار۱۳۷,14336386
thread_14406341_starter,0,G01561,yashilsevgil,14406341
thread_14450109_starter,0,G01566,fariba1367,14450109
thread_14503463_starter,0,G02453,ثمين١٢١٣,14503463
thread_14508573_starter,0,G01573,mahi_1911,14508573
thread_14536564_starter,0,G01577,hivazhiyan,14536564
thread_14540540_starter,0,G01579,سماوخدا,14540540
thread_14581489_starter,0,G01584,alirezabhrb,14581489
thread_14635132_starter,0,G00470,غریبک,14635132
thread_14644222_starter,0,G02835,دختررررگل۷۶,14644222
thread_14651105_starter,0,G01588,انارمهربون,14651105
thread_14761518_starter,0,G00488,1321zari,14761518
